tmID,overall_team,overall_team_coach,win_rate_3yr,playoff_rate_3yr,points_diff_3yr,confID,win_pct,pts_diff,overall_team_final
0,8.6,2.3,4.0,0.0,-345.0,0,0.11764705882352941,-345.0,-12.11
2,8.0,7.0,10.333333333333334,0.0,-163.0,0,0.35294117647058826,-38.0,4.39
4,7.6,12.2,21.666666666666668,1.0,165.66666666666666,0,0.6176470588235294,149.0,15.88
5,8.8,10.3,23.0,1.0,150.0,0,0.6470588235294118,150.0,16.54
7,8.3,7.4,19.666666666666668,1.0,81.66666666666667,0,0.5,16.0,8.79
8,10.9,13.6,18.333333333333332,0.6666666666666666,-0.3333333333333333,1,0.5882352941176471,75.0,13.44
10,8.4,8.9,12.0,0.0,-94.0,1,0.47058823529411764,46.0,9.24
11,8.1,9.9,15.333333333333334,0.6666666666666666,-112.33333333333333,0,0.5588235294117647,35.0,9.21
13,8.6,9.4,19.0,0.3333333333333333,67.66666666666667,1,0.47058823529411764,1.0,8.22
15,8.0,11.8,19.333333333333332,1.0,51.333333333333336,1,0.5294117647058824,-26.0,6.93
16,9.1,9.4,19.0,0.6666666666666666,27.0,1,0.7058823529411765,128.0,14.88
17,8.5,8.9,19.0,1.0,81.0,1,0.6470588235294118,87.0,12.5
19,8.1,8.9,14.666666666666666,0.3333333333333333,-65.66666666666667,0,0.29411764705882354,-233.0,-4.45
